sno,label,cluster,algorithm,applic,assign,base,class,comput,confer,data,databas,depart,design,develop,distribut,email,engin,gener,graduat,group,home,homework,includ,inform,interest,lab,languag,lectur,link,mail,model,network,offic,page,paper,parallel,phone,problem,process,professor,program,project,public,research,scienc,softwar,student,system,time,univers,web,work
1,0,2,0.233503177,0,0,0.079632245,0,0.386973077,0.179397022,0,0,0.048980315,0.069368511,0,0.078287734,0.066688135,0,0,0,0,0.108156488,0,0,0.051259734,0.107714066,0,0,0,0,0,0.41362215,0.07694854,0.123627926,0,0.075460895,0.653937257,0.134611906,0,0.081742157,0,0,0,0.136274915,0.047785511,0.039842089,0,0,0.106120279,0,0.084848892,0.148886779,0
2,0,1,0,0,0,0,0,0.107138762,0,0.243251998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512182592,0,0,0,0.205457014,0,0,0.376508808,0.14297062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680151952,0
3,2,2,0.511146328,0,0,0,0,0.231026486,0,0,0,0.10721956,0,0,0.17137449,0.145982575,0.143764063,0.168442949,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168442949,0.270625699,0,0.165186444,0,0.147335001,0.531390783,0,0.144169061,0,0,0,0.20920819,0.087215677,0,0.245709891,0,0,0.092868543,0,0
4,0,3,0.115800484,0,0,0,0,0.209356714,0,0,0,0.145743905,0,0,0,0.0992173,0,0,0,0,0.321826208,0,0.214927692,0.152526455,0.080127439,0.125105124,0,0,0.520436687,0,0,0.228965061,0.091965604,0.279374698,0,0,0.100136479,0.240773754,0,0,0,0,0.101373575,0.213283042,0.237105121,0,0.083498568,0.236825509,0,0.252473039,0,0
5,3,2,0,0,0,0,0,0.167737885,0.427689248,0,0,0.116770912,0.330754275,0,0,0,0,0,0,0.34640401,0,0,0,0.122205132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14304439,0.324884522,0.341767365,0.189970079,0,0,0.252994736,0,0.202282949,0.354951679,0.145470291
6,2,3,0,0,0,0,0,0.22632987,0,0,0,0.315119572,0,0,0,0.429044537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397686086,0,0,0,0.433019332,0,0,0.423714596,0,0,0,0,0.25632792,0,0,0,0,0.27294176,0,0
7,2,3,0,0,0,0,0,0.189335543,0,0,0,0.131806145,0,0,0,0.179457932,0,0,0.188960594,0,0,0,0,0,0,0,0,0.481847352,0,0.181541745,0,0,0,0,0.609196354,0,0.181120483,0,0,0.177228559,0,0,0,0,0.321645477,0,0.151026891,0,0,0.228328574,0,0
8,2,2,0,0,0,0.22807904,0,0.352657016,0.256910381,0.114383737,0.133078052,0.070143591,0,0,0,0.095502555,0,0,0,0,0,0,0.103440346,0.220223683,0,0,0.532328759,0,0,0,0.236935536,0,0,0,0,0,0.096387319,0,0,0.188632289,0,0,0.097578098,0.410595237,0.228227787,0,0,0.075986215,0,0.182265242,0,0
9,0,1,0,0,0,0,0,0.195172234,0,0,0,0.135869363,0,0,0,0,0.182178808,0.426904125,0,0,0,0,0,0,0.149397178,0,0,0,0.582210841,0.187138174,0,0,0.342938746,0.130223155,0.209325397,0,0.186703925,0,0,0,0,0.166439997,0,0,0.110520305,0.20114006,0.155682631,0,0,0.117683656,0,0
10,1,0,0.089334475,0.091056318,0.392286745,0,0.085099982,0,0,0,0,0,0,0,0,0,0,0.176635475,0,0,0.06206834,0.681182643,0,0.058833393,0,0,0,0.102757361,0,0.232290378,0,0,0.283788068,0.107762036,0,0,0,0,0,0,0.398327398,0.068866067,0,0,0,0,0,0,0,0,0,0
11,0,1,0,0,0,0,0,0.115300583,0,0.78534874,0,0.160533253,0,0,0,0,0,0,0.230144496,0,0,0,0,0,0,0,0.243661515,0,0,0,0,0,0,0,0,0,0,0,0.267910375,0,0,0.196653267,0,0,0.261165339,0,0.183943154,0,0,0.139046358,0,0
12,2,3,0,0,0,0,0,0.231312087,0,0,0.152753188,0.080514081,0,0,0.128689761,0.219244564,0,0.379465161,0,0,0.177788164,0,0,0,0.265591363,0,0,0,0,0.443580736,0,0,0.406440381,0,0,0.134368158,0.22127571,0,0,0.108260465,0,0.098629765,0.112004686,0.314200227,0.130985243,0,0,0.087220517,0,0.139475024,0,0
13,0,2,0,0,0,0,0,0.4261574,0,0,0,0.148334969,0.210079825,0,0,0.201962411,0.198893167,0,0,0,0.163773849,0,0,0,0,0,0,0,0,0.204307539,0.250527706,0,0,0,0,0.24755293,0,0,0,0,0,0,0.206351629,0.144716553,0.482640846,0,0.169966045,0.32138112,0,0.128480778,0,0.184792008
14,0,1,0,0,0,0.111343841,0.103671446,0.196754782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07167267,0.075304281,0,0,0,0.391287788,0,0,0,0.086429864,0.65639533,0,0,0,0,0,0,0,0,0,0,0.167124684,0,0.235417469,0,0.189760512,0.11863789,0.416354602,0.170635128
15,2,2,0.180162175,0,0,0.184323639,0,0.081429195,0,0.184880002,0,0,0.321132635,0,0,0,0.456048695,0,0,0,0,0,0,0.118650185,0.124662118,0,0.51624616,0,0,0,0.191481077,0,0,0,0,0,0,0,0,0.152444477,0.133885472,0,0.157716816,0.110608451,0.092221925,0.335676298,0,0.12281756,0.157069074,0.098199269,0,0
16,2,3,0,0,0,0,0,0.290128209,0,0,0,0.134648713,0,0.526230167,0,0.091664086,0.090271057,0,0,0,0.074331555,0,0,0.211372381,0.074027497,0,0,0,0,0,0,0.105767204,0,0.064526615,0,0.112356121,0.092513288,0,0.337068362,0.271576078,0.159009113,0.1649447,0.093656207,0.262728306,0.219054782,0.099666509,0,0.072932152,0.093271562,0.349879157,0,0
17,2,2,0.100552853,0.102490921,0,0,0,0.136342791,0,0,0,0.126553577,0.089615932,0.197837197,0.303415552,0.086153203,0.084843924,0,0,0.093856136,0,0,0,0.066221529,0.069576933,0,0.288129427,0,0.090381995,0,0,0,0,0,0,0.633607346,0.086951351,0,0.105601224,0.085082938,0.224174129,0.077514078,0.176051115,0.185199729,0.205885118,0,0.145008362,0.205642323,0,0.164422139,0,0
18,0,1,0,0,0,0,0,0.337180708,0,0,0,0,0,0,0,0.426120044,0,0,0.224341983,0,0.172773041,0,0,0,0.344132602,0,0,0,0,0,0,0,0.19748767,0.299965727,0,0,0,0,0,0,0.18479694,0.191695151,0,0,0.509161427,0,0,0,0.21679637,0,0,0
